gendistrict,hood,category,count
INGLESIDE,Crocker Amazon,ARSON,1
INGLESIDE,Crocker Amazon,ASSAULT,106
INGLESIDE,Crocker Amazon,BURGLARY,21
INGLESIDE,Crocker Amazon,DISORDERLY CONDUCT,1
INGLESIDE,Crocker Amazon,DRIVING UNDER THE INFLUENCE,3
INGLESIDE,Crocker Amazon,DRUG/NARCOTIC,16
INGLESIDE,Crocker Amazon,DRUNKENNESS,1
INGLESIDE,Crocker Amazon,EMBEZZLEMENT,3
INGLESIDE,Crocker Amazon,EXTORTION,2
INGLESIDE,Crocker Amazon,FORGERY/COUNTERFEITING,2
INGLESIDE,Crocker Amazon,FRAUD,9
INGLESIDE,Crocker Amazon,GAMBLING,2
INGLESIDE,Crocker Amazon,KIDNAPPING,6
INGLESIDE,Crocker Amazon,LARCENY/THEFT,68
INGLESIDE,Crocker Amazon,LIQUOR LAWS,1
INGLESIDE,Crocker Amazon,MISSING PERSON,41
INGLESIDE,Crocker Amazon,NON-CRIMINAL,65
INGLESIDE,Crocker Amazon,OTHER OFFENSES,120
INGLESIDE,Crocker Amazon,RECOVERED VEHICLE,8
INGLESIDE,Crocker Amazon,ROBBERY,19
INGLESIDE,Crocker Amazon,RUNAWAY,2
INGLESIDE,Crocker Amazon,SECONDARY CODES,10
INGLESIDE,Crocker Amazon,"SEX OFFENSES, FORCIBLE",5
INGLESIDE,Crocker Amazon,STOLEN PROPERTY,8
INGLESIDE,Crocker Amazon,SUICIDE,2
INGLESIDE,Crocker Amazon,SUSPICIOUS OCC,33
INGLESIDE,Crocker Amazon,TRESPASS,4
INGLESIDE,Crocker Amazon,VANDALISM,46
INGLESIDE,Crocker Amazon,VEHICLE THEFT,41
INGLESIDE,Crocker Amazon,WARRANTS,27
INGLESIDE,Crocker Amazon,WEAPON LAWS,12
INGLESIDE,Diamond Heights,ARSON,1
INGLESIDE,Diamond Heights,ASSAULT,8
INGLESIDE,Diamond Heights,BURGLARY,22
INGLESIDE,Diamond Heights,DRUG/NARCOTIC,5
INGLESIDE,Diamond Heights,FORGERY/COUNTERFEITING,1
INGLESIDE,Diamond Heights,FRAUD,1
INGLESIDE,Diamond Heights,LARCENY/THEFT,59
INGLESIDE,Diamond Heights,MISSING PERSON,10
INGLESIDE,Diamond Heights,NON-CRIMINAL,38
INGLESIDE,Diamond Heights,OTHER OFFENSES,39
INGLESIDE,Diamond Heights,ROBBERY,4
INGLESIDE,Diamond Heights,RUNAWAY,1
INGLESIDE,Diamond Heights,SECONDARY CODES,3
INGLESIDE,Diamond Heights,"SEX OFFENSES, FORCIBLE",2
INGLESIDE,Diamond Heights,SUSPICIOUS OCC,8
INGLESIDE,Diamond Heights,TRESPASS,2
INGLESIDE,Diamond Heights,VANDALISM,12
INGLESIDE,Diamond Heights,VEHICLE THEFT,15
INGLESIDE,Diamond Heights,WARRANTS,2
INGLESIDE,Excelsior,ARSON,3
INGLESIDE,Excelsior,ASSAULT,247
INGLESIDE,Excelsior,BAD CHECKS,1
INGLESIDE,Excelsior,BRIBERY,3
INGLESIDE,Excelsior,BURGLARY,56
INGLESIDE,Excelsior,DISORDERLY CONDUCT,1
INGLESIDE,Excelsior,DRIVING UNDER THE INFLUENCE,4
INGLESIDE,Excelsior,DRUG/NARCOTIC,45
INGLESIDE,Excelsior,DRUNKENNESS,2
INGLESIDE,Excelsior,EMBEZZLEMENT,1
INGLESIDE,Excelsior,EXTORTION,2
INGLESIDE,Excelsior,FAMILY OFFENSES,2
INGLESIDE,Excelsior,FORGERY/COUNTERFEITING,7
INGLESIDE,Excelsior,FRAUD,18
INGLESIDE,Excelsior,KIDNAPPING,6
INGLESIDE,Excelsior,LARCENY/THEFT,209
INGLESIDE,Excelsior,MISSING PERSON,182
INGLESIDE,Excelsior,NON-CRIMINAL,167
INGLESIDE,Excelsior,OTHER OFFENSES,318
INGLESIDE,Excelsior,RECOVERED VEHICLE,23
INGLESIDE,Excelsior,ROBBERY,66
INGLESIDE,Excelsior,RUNAWAY,3
INGLESIDE,Excelsior,SECONDARY CODES,52
INGLESIDE,Excelsior,"SEX OFFENSES, FORCIBLE",20
INGLESIDE,Excelsior,"SEX OFFENSES, NON FORCIBLE",1
INGLESIDE,Excelsior,STOLEN PROPERTY,10
INGLESIDE,Excelsior,SUICIDE,2
INGLESIDE,Excelsior,SUSPICIOUS OCC,80
INGLESIDE,Excelsior,TRESPASS,6
INGLESIDE,Excelsior,VANDALISM,128
INGLESIDE,Excelsior,VEHICLE THEFT,158
INGLESIDE,Excelsior,WARRANTS,46
INGLESIDE,Excelsior,WEAPON LAWS,19
INGLESIDE,Glen Park,ASSAULT,40
INGLESIDE,Glen Park,BURGLARY,41
INGLESIDE,Glen Park,DRIVING UNDER THE INFLUENCE,3
INGLESIDE,Glen Park,DRUG/NARCOTIC,2
INGLESIDE,Glen Park,FRAUD,9
INGLESIDE,Glen Park,LARCENY/THEFT,149
INGLESIDE,Glen Park,LIQUOR LAWS,1
