category,hood,weekday,month,hour,count
THEFT,NorthWest,7,04,22,3
SEX,SouthEast,6,08,13,1
THEFT,SouthEast,4,02,16,7
THEFT,SouthEast,5,06,20,3
THEFT,NorthEast,6,11,11,22
TRESPASSING,NorthEast,6,06,06,1
OTHER,SouthWest,2,06,08,3
MISSING PERSONS,NorthWest,1,02,06,1
OTHER,Center,1,03,04,2
OTHER,SouthEast,5,03,01,2
OTHER,NorthEast,2,08,01,9
MISSING PERSONS,SouthEast,7,08,12,2
THEFT,NorthEast,6,08,23,28
DRUG/ALC,Center,5,04,17,2
FRAUD,SouthEast,1,01,12,1
OTHER,SouthWest,4,08,15,3
THEFT,NorthEast,7,10,22,21
OTHER,SouthWest,6,05,12,3
THEFT,NorthEast,7,02,02,19
THEFT,SouthWest,6,07,07,1
OTHER,Center,1,02,21,10
SEX,NorthWest,2,09,22,3
OTHER,SouthWest,6,11,00,2
THEFT,NorthWest,7,08,00,2
CONDUCT,Center,3,10,00,1
CONDUCT,NorthWest,4,06,10,2
TRESPASSING,NorthEast,1,07,10,1
OTHER,Center,2,08,19,9
OTHER,NorthEast,4,02,04,7
CONDUCT,Center,2,12,22,1
OTHER,NorthWest,3,09,16,3
THEFT,NorthWest,6,07,15,3
OTHER,SouthWest,5,08,13,3
SEX,Center,1,04,23,1
CONDUCT,Center,7,05,23,2
THEFT,NorthEast,4,05,09,12
SEX,SouthWest,3,03,14,2
OTHER,SouthWest,3,04,12,5
MISSING PERSONS,SouthEast,4,04,08,1
THEFT,NorthWest,5,01,16,4
CONDUCT,Center,2,02,08,2
FRAUD,Center,2,12,16,2
OTHER,NorthWest,3,12,01,2
OTHER,NorthEast,3,11,13,13
CONDUCT,NorthEast,6,02,03,3
SEX,SouthEast,2,11,14,1
OTHER,Center,2,11,18,8
OTHER,NorthEast,4,03,21,21
DRUG/ALC,Center,1,09,21,5
THEFT,Center,2,10,10,5
SEX,SouthEast,5,11,00,1
OTHER,NorthEast,2,11,17,32
OTHER,Center,7,07,07,2
OTHER,SouthEast,4,11,04,1
DRUG/ALC,NorthWest,5,04,01,1
