category,hood,weekday,month,hour,count
OTHER,SouthEast,4,01,12,1
CONDUCT,SouthEast,4,01,12,1
THEFT,Center,3,01,23,1
THEFT,Center,3,01,23,1
DRUG/ALC,NorthEast,4,01,13,1
SEX,NorthWest,1,01,16,1
SEX,NorthWest,3,01,16,1
CONDUCT,NorthWest,3,01,16,1
CONDUCT,Center,4,01,10,1
OTHER,Center,4,01,13,1
THEFT,NorthEast,4,01,13,1
SEX,NorthEast,1,01,18,1
CONDUCT,NorthEast,4,01,13,1
OTHER,SouthEast,4,01,12,1
OTHER,SouthEast,4,01,12,1
OTHER,SouthEast,4,01,12,1
OTHER,NorthEast,4,01,14,1
SEX,NorthWest,4,01,13,1
OTHER,NorthEast,4,01,14,1
THEFT,NorthEast,3,01,18,1
THEFT,Center,4,01,11,1
OTHER,NorthWest,4,01,06,1
OTHER,Center,1,01,08,1
OTHER,NorthEast,4,01,14,1
SEX,SouthEast,3,01,14,1
OTHER,SouthEast,3,01,14,1
DRUG/ALC,Center,4,01,14,1
DRUG/ALC,Center,4,01,14,1
OTHER,Center,4,01,14,1
OTHER,Center,4,01,14,1
OTHER,Center,4,01,14,1
THEFT,NorthEast,3,01,21,1
OTHER,NorthEast,4,01,14,1
OTHER,NorthEast,4,01,14,1
THEFT,NorthEast,4,01,14,1
THEFT,NorthEast,4,01,14,1
OTHER,NorthEast,4,01,14,1
OTHER,NorthWest,4,01,15,1
OTHER,NorthEast,4,01,13,1
THEFT,NorthEast,4,01,13,1
OTHER,NorthEast,4,01,13,1
OTHER,NorthEast,4,01,14,1
OTHER,NorthEast,4,01,14,1
CONDUCT,Center,4,01,07,1
THEFT,Center,4,01,15,1
DRUG/ALC,Center,4,01,15,1
OTHER,NorthEast,4,01,14,1
THEFT,NorthEast,4,01,13,1
DRUG/ALC,Center,4,01,14,1
OTHER,NorthEast,6,01,15,1
OTHER,SouthEast,4,01,15,1
MISSING PERSONS,SouthWest,4,01,11,1
THEFT,NorthEast,4,01,05,1
THEFT,NorthEast,4,01,13,1
THEFT,NorthEast,4,01,15,1
OTHER,NorthWest,4,01,15,1
MISSING PERSONS,NorthWest,4,01,15,1
CONDUCT,Center,4,01,15,1
OTHER,Center,4,01,15,1
OTHER,Center,4,01,15,1
DRUG/ALC,Center,4,01,15,1
THEFT,NorthEast,4,01,15,1
THEFT,NorthEast,4,01,15,1
THEFT,NorthEast,4,01,09,1
SEX,NorthEast,4,01,15,1
OTHER,Center,4,01,16,1
THEFT,NorthEast,4,01,16,1
THEFT,NorthEast,4,01,16,1
SEX,NorthEast,4,01,16,1
THEFT,NorthEast,4,01,16,1
THEFT,NorthEast,4,01,16,1
DRUG/ALC,SouthEast,4,01,16,1
OTHER,NorthEast,4,01,16,1
OTHER,NorthEast,4,01,17,1
THEFT,NorthEast,3,01,11,1
SEX,NorthWest,4,01,15,1
OTHER,NorthEast,4,01,17,1
OTHER,NorthEast,4,01,17,1
DRUG/ALC,NorthEast,4,01,17,1
OTHER,NorthEast,4,01,17,1
MISSING PERSONS,NorthEast,4,01,17,1
DRUG/ALC,SouthEast,4,01,17,1
THEFT,NorthWest,4,01,16,1
OTHER,Center,4,01,17,1
OTHER,NorthEast,4,01,17,1
OTHER,SouthEast,4,01,17,1
OTHER,SouthEast,4,01,17,1
THEFT,NorthEast,4,01,15,1
TRESPASSING,NorthEast,4,01,15,1
DRUG/ALC,SouthWest,4,01,17,1
SEX,SouthEast,1,02,14,1
THEFT,NorthEast,4,01,10,1
THEFT,NorthEast,2,01,16,1
OTHER,NorthEast,4,01,17,1
FRAUD,SouthEast,1,01,12,1
THEFT,NorthWest,3,01,18,1
OTHER,SouthWest,4,01,15,1
OTHER,SouthWest,4,01,15,1
THEFT,NorthWest,5,01,17,1
OTHER,NorthWest,4,01,10,1
SEX,NorthEast,4,01,18,1
THEFT,SouthEast,4,01,07,1
SEX,SouthEast,4,01,18,1
OTHER,SouthEast,1,02,14,1
OTHER,SouthEast,4,01,18,1
MISSING PERSONS,SouthEast,4,01,18,1
THEFT,NorthEast,2,01,12,1
TRESPASSING,NorthEast,2,01,12,1
SEX,NorthWest,4,01,17,1
OTHER,NorthWest,4,01,17,1
OTHER,Center,4,01,19,1
CONDUCT,Center,3,01,13,1
OTHER,Center,4,01,19,1
THEFT,NorthEast,4,01,18,1
SEX,SouthWest,4,01,17,1
OTHER,NorthEast,4,01,18,1
THEFT,NorthEast,4,01,10,1
THEFT,NorthEast,4,01,17,1
THEFT,NorthEast,4,01,16,1
DRUG/ALC,Center,4,01,19,1
OTHER,Center,4,01,19,1
THEFT,NorthEast,4,01,19,1
OTHER,Center,2,01,21,1
THEFT,NorthEast,4,01,10,1
OTHER,NorthEast,4,01,20,1
OTHER,NorthEast,1,11,20,1
OTHER,NorthEast,4,01,20,1
OTHER,NorthEast,4,01,18,1
SEX,NorthWest,4,01,19,1
SEX,NorthWest,4,01,19,1
THEFT,SouthEast,4,01,09,1
THEFT,SouthEast,4,01,09,1
THEFT,SouthEast,4,01,20,1
THEFT,NorthWest,3,01,08,1
THEFT,SouthWest,3,01,20,1
DRUG/ALC,NorthEast,4,01,20,1
DRUG/ALC,NorthEast,4,01,20,1
OTHER,NorthEast,4,01,20,1
OTHER,SouthWest,4,01,19,1
THEFT,SouthEast,4,01,19,1
OTHER,SouthEast,4,01,19,1
THEFT,SouthEast,3,01,09,1
OTHER,SouthEast,3,01,09,1
OTHER,Center,4,01,21,1
SEX,NorthEast,4,01,12,1
SEX,NorthEast,4,01,12,1
OTHER,NorthEast,4,01,12,1
OTHER,SouthWest,4,01,21,1
THEFT,Center,2,01,02,1
OTHER,NorthWest,4,01,21,1
MISSING PERSONS,SouthEast,6,01,15,1
MISSING PERSONS,SouthEast,6,01,15,1
THEFT,NorthEast,4,01,21,1
CONDUCT,NorthEast,4,01,21,1
THEFT,NorthWest,6,01,14,1
SEX,NorthEast,4,01,21,1
SEX,NorthEast,4,01,21,1
MISSING PERSONS,NorthEast,7,01,12,1
THEFT,NorthEast,4,01,19,1
OTHER,Center,4,01,21,1
THEFT,NorthEast,4,01,20,1
THEFT,NorthEast,4,01,16,1
MISSING PERSONS,NorthEast,4,01,08,1
MISSING PERSONS,NorthEast,4,01,08,1
THEFT,NorthEast,4,01,18,1
OTHER,NorthEast,4,01,21,1
OTHER,NorthEast,4,01,22,1
THEFT,SouthEast,4,01,22,1
OTHER,Center,4,01,22,1
OTHER,NorthEast,4,01,22,1
THEFT,NorthWest,4,01,00,1
SEX,NorthEast,4,01,22,1
SEX,NorthEast,4,01,22,1
THEFT,NorthEast,4,01,23,1
OTHER,NorthEast,4,01,22,1
DRUG/ALC,NorthEast,4,01,22,1
