hood,category,count
Mission,BAD CHECKS,2
Mission,SUICIDE,2
Nob Hill,LARCENY/THEFT,782
Nob Hill,OTHER OFFENSES,348
Nob Hill,NON-CRIMINAL,341
Nob Hill,ASSAULT,211
Nob Hill,VANDALISM,198
Nob Hill,BURGLARY,129
Nob Hill,VEHICLE THEFT,119
Nob Hill,PROSTITUTION,111
Nob Hill,SUSPICIOUS OCC,92
Nob Hill,WARRANTS,77
Nob Hill,TRESPASS,63
Nob Hill,ROBBERY,63
Nob Hill,MISSING PERSON,62
Nob Hill,FRAUD,51
Nob Hill,DRUG/NARCOTIC,50
Nob Hill,DISORDERLY CONDUCT,29
Nob Hill,SECONDARY CODES,26
Nob Hill,STOLEN PROPERTY,19
Nob Hill,"SEX OFFENSES, FORCIBLE",16
Nob Hill,FORGERY/COUNTERFEITING,15
Nob Hill,WEAPON LAWS,15
Nob Hill,RECOVERED VEHICLE,14
Nob Hill,DRUNKENNESS,12
Nob Hill,DRIVING UNDER THE INFLUENCE,9
Nob Hill,ARSON,3
Nob Hill,KIDNAPPING,2
Nob Hill,BRIBERY,2
Nob Hill,SUICIDE,2
Nob Hill,EXTORTION,1
Noe Valley,LARCENY/THEFT,283
Noe Valley,OTHER OFFENSES,167
Noe Valley,VEHICLE THEFT,159
Noe Valley,NON-CRIMINAL,144
Noe Valley,BURGLARY,136
Noe Valley,ASSAULT,89
Noe Valley,VANDALISM,65
Noe Valley,SUSPICIOUS OCC,57
Noe Valley,FRAUD,29
Noe Valley,MISSING PERSON,21
Noe Valley,ROBBERY,19
Noe Valley,SECONDARY CODES,17
Noe Valley,WARRANTS,16
Noe Valley,WEAPON LAWS,12
Noe Valley,DRUG/NARCOTIC,9
Noe Valley,TRESPASS,8
Noe Valley,RECOVERED VEHICLE,6
Noe Valley,DRIVING UNDER THE INFLUENCE,5
Noe Valley,"SEX OFFENSES, FORCIBLE",5
Noe Valley,FORGERY/COUNTERFEITING,3
Noe Valley,STOLEN PROPERTY,2
Noe Valley,LIQUOR LAWS,2
Noe Valley,KIDNAPPING,2
Noe Valley,SUICIDE,2
Noe Valley,BRIBERY,1
North Beach,LARCENY/THEFT,2285
North Beach,NON-CRIMINAL,604
North Beach,OTHER OFFENSES,495
North Beach,VANDALISM,345
North Beach,ASSAULT,306
North Beach,SUSPICIOUS OCC,143
North Beach,BURGLARY,138
North Beach,WARRANTS,124
North Beach,VEHICLE THEFT,113
North Beach,FRAUD,99
North Beach,ROBBERY,80
North Beach,STOLEN PROPERTY,53
North Beach,DRUG/NARCOTIC,52
North Beach,MISSING PERSON,51
North Beach,WEAPON LAWS,43
North Beach,SECONDARY CODES,40
North Beach,TRESPASS,29
North Beach,DRUNKENNESS,17
North Beach,FORGERY/COUNTERFEITING,15
North Beach,"SEX OFFENSES, FORCIBLE",14
North Beach,DRIVING UNDER THE INFLUENCE,11
North Beach,DISORDERLY CONDUCT,11
North Beach,RECOVERED VEHICLE,10
North Beach,LIQUOR LAWS,7
North Beach,EMBEZZLEMENT,5
North Beach,ARSON,3
North Beach,LOITERING,3
North Beach,SUICIDE,3
North Beach,KIDNAPPING,3
North Beach,BRIBERY,1
North Beach,RUNAWAY,1
North Beach,GAMBLING,1
Ocean View,OTHER OFFENSES,352
Ocean View,LARCENY/THEFT,306
Ocean View,NON-CRIMINAL,242
Ocean View,ASSAULT,237
Ocean View,VANDALISM,129
Ocean View,BURGLARY,119
Ocean View,VEHICLE THEFT,116
Ocean View,SUSPICIOUS OCC,84
Ocean View,MISSING PERSON,65
Ocean View,WARRANTS,64
Ocean View,SECONDARY CODES,41
Ocean View,ROBBERY,39
Ocean View,FRAUD,33
Ocean View,WEAPON LAWS,31
Ocean View,DRUG/NARCOTIC,22
Ocean View,TRESPASS,20
Ocean View,RECOVERED VEHICLE,13
Ocean View,"SEX OFFENSES, FORCIBLE",10
Ocean View,STOLEN PROPERTY,9
Ocean View,KIDNAPPING,9
Ocean View,DRUNKENNESS,7
Ocean View,DRIVING UNDER THE INFLUENCE,6
Ocean View,ARSON,4
Ocean View,FORGERY/COUNTERFEITING,3
Ocean View,LIQUOR LAWS,3
Ocean View,EXTORTION,3
Ocean View,FAMILY OFFENSES,2
Ocean View,EMBEZZLEMENT,2
Ocean View,SUICIDE,1
Ocean View,DISORDERLY CONDUCT,1
Ocean View,BAD CHECKS,1
Ocean View,RUNAWAY,1
Ocean View,BRIBERY,1
Ocean View,"SEX OFFENSES, NON FORCIBLE",1
Outer Mission,OTHER OFFENSES,554
Outer Mission,LARCENY/THEFT,401
Outer Mission,ASSAULT,383
Outer Mission,NON-CRIMINAL,320
Outer Mission,VEHICLE THEFT,193
Outer Mission,VANDALISM,159
Outer Mission,SUSPICIOUS OCC,134
Outer Mission,MISSING PERSON,113
Outer Mission,BURGLARY,80
Outer Mission,ROBBERY,79
Outer Mission,WARRANTS,79
