category,hood,weekday,month,hour,count
OTHER,Center,4,10,06,1
OTHER,NorthWest,7,12,13,1
DRUG/ALC,NorthEast,6,08,04,3
OTHER,SouthWest,1,03,22,2
THEFT,NorthEast,3,06,16,23
THEFT,SouthEast,4,10,11,2
THEFT,NorthEast,4,01,14,33
DRUG/ALC,SouthEast,6,02,21,1
MISSING PERSONS,NorthEast,2,02,12,1
SEX,Center,6,03,11,1
SEX,NorthEast,1,06,06,5
MISSING PERSONS,Center,6,06,13,2
OTHER,NorthEast,2,06,15,24
MISSING PERSONS,NorthEast,2,09,19,1
OTHER,SouthEast,2,06,10,4
OTHER,Center,1,10,09,10
THEFT,SouthWest,6,11,19,6
THEFT,NorthEast,4,09,05,9
SEX,NorthEast,6,06,21,7
THEFT,SouthEast,2,06,12,2
OTHER,NorthEast,2,12,11,21
SEX,Center,7,09,22,6
OTHER,Center,3,05,21,4
SEX,NorthEast,7,05,03,4
THEFT,NorthWest,6,08,13,5
MISSING PERSONS,SouthEast,5,10,18,2
THEFT,NorthEast,5,03,02,7
OTHER,SouthWest,1,06,18,2
THEFT,SouthEast,2,08,02,2
SEX,NorthWest,4,02,16,3
MISSING PERSONS,SouthEast,5,05,00,1
OTHER,SouthWest,5,07,15,5
THEFT,Center,3,03,09,2
MISSING PERSONS,NorthEast,7,03,20,3
DRUG/ALC,NorthEast,3,04,11,3
OTHER,SouthWest,4,06,01,2
DRUG/ALC,NorthEast,7,04,19,2
OTHER,NorthEast,4,08,08,7
SEX,SouthWest,4,04,19,2
THEFT,SouthWest,4,03,20,3
THEFT,SouthWest,5,12,14,1
SEX,Center,3,07,20,1
OTHER,SouthWest,6,01,16,7
DRUG/ALC,Center,6,03,07,3
SEX,Center,7,08,02,2
THEFT,SouthWest,3,02,02,1
THEFT,SouthEast,2,09,22,2
THEFT,SouthWest,3,10,22,3
OTHER,SouthEast,7,02,01,4
THEFT,Center,2,04,22,3
THEFT,SouthWest,6,08,18,2
OTHER,NorthWest,1,06,13,1
DRUG/ALC,NorthEast,2,01,06,2
SEX,SouthWest,7,11,09,2
THEFT,SouthEast,6,07,22,9
THEFT,SouthWest,2,12,00,1
THEFT,SouthEast,6,05,08,1
OTHER,SouthEast,2,07,21,8
SEX,SouthWest,7,10,08,1
DRUG/ALC,SouthWest,5,01,02,1
OTHER,Center,3,06,07,7
OTHER,NorthWest,7,10,12,2
THEFT,NorthWest,1,01,00,3
OTHER,SouthEast,6,09,21,4
OTHER,NorthWest,7,11,18,2
OTHER,Center,6,04,21,7
SEX,NorthEast,6,05,07,3
SEX,SouthEast,7,08,00,4
SEX,Center,1,10,13,4
DRUG/ALC,NorthEast,4,10,08,3
OTHER,SouthEast,7,03,17,6
SEX,SouthEast,2,09,15,2
SEX,SouthWest,3,10,15,1
SEX,SouthWest,1,04,17,1
SEX,NorthEast,2,09,10,1
THEFT,SouthEast,3,11,06,3
OTHER,Center,1,04,06,3
DRUG/ALC,SouthWest,4,03,14,2
OTHER,NorthWest,4,07,18,3
OTHER,SouthEast,1,09,06,3
MISSING PERSONS,NorthEast,3,05,09,1
SEX,SouthEast,6,07,15,2
SEX,NorthEast,6,07,10,2
THEFT,NorthWest,1,09,23,6
THEFT,Center,7,05,20,12
OTHER,Center,5,01,08,5
SEX,NorthEast,7,03,14,6
SEX,SouthEast,1,11,16,2
THEFT,NorthWest,7,10,10,6
OTHER,NorthWest,3,11,23,4
DRUG/ALC,NorthEast,4,12,02,1
MISSING PERSONS,NorthWest,5,06,14,2
OTHER,Center,5,10,20,9
OTHER,SouthWest,7,11,13,1
SEX,NorthEast,1,07,02,3
THEFT,NorthWest,2,11,14,3
OTHER,NorthEast,7,04,12,21
OTHER,NorthWest,5,05,10,3
THEFT,SouthWest,2,03,06,2
THEFT,Center,2,08,00,5
OTHER,NorthWest,1,07,01,1
SEX,SouthEast,5,01,16,4
OTHER,Center,1,11,08,10
THEFT,NorthEast,3,07,03,10
SEX,SouthWest,7,12,02,1
OTHER,NorthWest,7,08,19,2
THEFT,Center,6,12,18,6
THEFT,Center,3,09,08,1
THEFT,SouthEast,3,04,08,4
OTHER,NorthWest,3,08,11,1
DRUG/ALC,NorthEast,6,05,11,1
THEFT,Center,5,08,14,7
THEFT,NorthWest,5,11,00,3
DRUG/ALC,NorthEast,4,01,20,5
DRUG/ALC,Center,7,04,01,1
OTHER,NorthWest,5,07,07,2
SEX,SouthEast,2,05,20,3
THEFT,SouthEast,7,04,15,1
THEFT,NorthWest,5,05,12,1
OTHER,SouthWest,4,07,13,2
THEFT,Center,7,09,15,8
